employee_id,name,department,title,hire_date,salary,age,performance_score,years_experience,is_remote,email,satisfaction_rating,country
1001,Employee_0,Marketing,Director,2018-01-15,65501.0,37.0,3.0,0,No,emp0@company.com,1.6,SG
1002,Employee_1,Operations,Senior Engineer,2018-01-27,61933.0,27.0,3.0,8,Yes,emp1@company.com,1.1,SG
1003,Employee_2,HR,Analyst,2018-02-08,110309.0,30.0,5.0,2,No,emp2@company.com,2.2,SG
1004,Employee_3,Sales,Director,2018-02-20,83099.0,26.0,3.0,9,No,emp3@company.com,3.8,UK
1005,Employee_4,Engineering,Lead,2018-03-04,49782.0,34.0,3.0,0,No,emp4@company.com,,SG
1006,Employee_5,Engineering,Director,2018-03-16,450000.0,42.0,4.0,2,Yes,emp5@company.com,3.7,SG
1007,Employee_6,Engineering,Lead,2018-03-28,117443.0,27.0,1.0,5,No,emp6@company.com,4.9,SG
1008,Employee_7,Finance,Senior Engineer,2018-04-09,95649.0,39.0,4.0,10,No,emp7@company.com,,SG
1009,Employee_8,Sales,Lead,2018-04-21,44612.0,30.0,2.0,2,No,emp8@company.com,3.7,SG
1010,Employee_9,HR,Analyst,2018-05-03,65315.0,28.0,5.0,6,No,emp9@company.com,2.8,SG
1011,Employee_10,Engineering,Senior Engineer,2018-05-15,100338.0,34.0,2.0,15,No,emp10@company.com,4.5,SG
1012,Employee_11,Operations,Analyst,2018-05-27,60846.0,26.0,3.0,6,No,emp11@company.com,1.7,SG
1013,Employee_12,Finance,Associate,2018-06-08,8000.0,30.0,,1,Yes,emp12@company.com,,SG
1014,Employee_13,Engineering,Manager,2018-06-20,90492.0,25.0,5.0,0,Yes,emp13@company.com,4.4,SG
1015,Employee_14,Engineering,Lead,2018-07-02,56461.0,50.0,3.0,14,No,emp14@company.com,4.8,SG
1016,Employee_15,Engineering,Manager,2018-07-14,73809.0,35.0,3.0,0,No,emp15@company.com,3.7,SG
1017,Employee_16,Marketing,Manager,2018-07-26,,29.0,2.0,14,No,emp16@company.com,,SG
1018,Employee_17,Sales,Lead,2018-08-07,54512.0,36.0,4.0,5,No,emp17@company.com,3.5,SG
1019,Employee_18,Marketing,Senior Engineer,2018-08-19,69948.0,34.0,3.0,19,Yes,emp18@company.com,4.5,SG
1020,Employee_19,Engineering,Associate,2018-08-31,50044.0,33.0,4.0,11,Yes,emp19@company.com,3.3,SG
1021,Employee_20,Sales,Analyst,2018-09-12,107648.0,98.0,3.0,35,No,emp20@company.com,1.1,SG
1022,Employee_21,Engineering,Director,2018-09-24,46397.0,41.0,2.0,3,No,emp21@company.com,4.7,SG
1023,Employee_22,Engineering,Analyst,2018-10-06,66199.0,30.0,1.0,10,Yes,emp22@company.com,3.8,SG
1024,Employee_23,Marketing,Director,2018-10-18,77614.0,30.0,3.0,3,No,emp23@company.com,3.7,SG
1025,Employee_24,Sales,Analyst,2018-10-30,103825.0,32.0,3.0,4,Yes,emp24@company.com,1.9,SG
1026,Employee_25,Finance,Lead,2018-11-11,46282.0,22.0,2.0,6,No,emp25@company.com,3.6,SG
1027,Employee_26,Engineering,Associate,2018-11-23,98263.0,22.0,,14,Yes,emp26@company.com,2.6,SG
1028,Employee_27,Sales,Director,2018-12-05,75204.0,45.0,3.0,28,No,emp27@company.com,3.6,SG
1029,Employee_28,Sales,VP,2018-12-17,55369.0,48.0,3.0,10,Yes,emp28@company.com,1.4,SG
1030,Employee_29,Engineering,Senior Engineer,2018-12-29,84242.0,33.0,3.0,3,No,emp29@company.com,3.6,SG
1031,Employee_30,engineering,Analyst,2019-01-10,78981.0,39.0,,3,Yes,emp30@company.com,5.0,SG
1032,Employee_31,Engineering,Analyst,2019-01-22,62995.0,37.0,3.0,9,Yes,emp31@company.com,1.2,SG
1033,Employee_32,Engineering,Director,2019-02-03,76396.0,59.0,2.0,1,Yes,emp32@company.com,4.9,SG
1034,Employee_33,Operations,Senior Engineer,2019-02-15,67293.0,43.0,2.0,0,No,emp33@company.com,2.6,SG
1035,Employee_34,Operations,Senior Engineer,2019-02-27,77270.0,33.0,4.0,3,No,emp34@company.com,4.5,SG
1036,Employee_35,Finance,Lead,2019-03-11,88242.0,27.0,5.0,2,Yes,emp35@company.com,4.1,SG
1037,Employee_36,Marketing,VP,2019-03-23,106720.0,22.0,3.0,2,No,emp36@company.com,3.3,SG
1038,Employee_37,Engineering,Lead,2019-04-04,50243.0,36.0,3.0,1,No,emp37@company.com,4.0,SG
1039,Employee_38,HR,Lead,2019-04-16,117660.0,28.0,4.0,0,No,emp38@company.com,4.5,SG
1040,Employee_39,Marketing,Lead,2019-04-28,35958.0,23.0,3.0,0,Yes,emp39@company.com,2.6,SG
1041,Employee_40,Engineering,Lead,2019-05-10,71964.0,29.0,1.0,30,No,emp40@company.com,2.3,SG
1042,Employee_41,Sales,Lead,2019-05-22,86766.0,26.0,2.0,3,Yes,emp41@company.com,3.7,SG
1043,Employee_42,Engineering,Associate,2019-06-03,80619.0,48.0,4.0,3,Yes,emp42@company.com,4.2,SG
